Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 22.1     |
|    ep_rew_mean     | 22.1     |
| time/              |          |
|    fps             | 2845     |
|    iterations      | 1        |
|    time_elapsed    | 0        |
|    total_timesteps | 2048     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 26.7        |
|    ep_rew_mean          | 26.7        |
| time/                   |             |
|    fps                  | 1877        |
|    iterations           | 2           |
|    time_elapsed         | 2           |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.009882214 |
|    clip_fraction        | 0.11        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.686      |
|    explained_variance   | -0.00129    |
|    learning_rate        | 0.0003      |
|    loss                 | 7.09        |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0169     |
|    value_loss           | 54.1        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 33.7         |
|    ep_rew_mean          | 33.7         |
| time/                   |              |
|    fps                  | 1745         |
|    iterations           | 3            |
|    time_elapsed         | 3            |
|    total_timesteps      | 6144         |
| train/                  |              |
|    approx_kl            | 0.0089996345 |
|    clip_fraction        | 0.0814       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.665       |
|    explained_variance   | 0.0667       |
|    learning_rate        | 0.0003       |
|    loss                 | 12.6         |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.0202      |
|    value_loss           | 32.3         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 45.9        |
|    ep_rew_mean          | 45.9        |
| time/                   |             |
|    fps                  | 1688        |
|    iterations           | 4           |
|    time_elapsed         | 4           |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.009408649 |
|    clip_fraction        | 0.102       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.631      |
|    explained_variance   | 0.261       |
|    learning_rate        | 0.0003      |
|    loss                 | 25.7        |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0195     |
|    value_loss           | 51.2        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 61.7       |
|    ep_rew_mean          | 61.7       |
| time/                   |            |
|    fps                  | 1654       |
|    iterations           | 5          |
|    time_elapsed         | 6          |
|    total_timesteps      | 10240      |
| train/                  |            |
|    approx_kl            | 0.00874911 |
|    clip_fraction        | 0.0606     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.616     |
|    explained_variance   | 0.236      |
|    learning_rate        | 0.0003     |
|    loss                 | 19.8       |
|    n_updates            | 40         |
|    policy_gradient_loss | -0.016     |
|    value_loss           | 57.9       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 76.4        |
|    ep_rew_mean          | 76.4        |
| time/                   |             |
|    fps                  | 1628        |
|    iterations           | 6           |
|    time_elapsed         | 7           |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.010491438 |
